programming_exp,cli_exp,vcs_exp,md_exp,r_exp,web_exp,os,washington_born,pet_preference,coffee_cups,seahawks_fan,info_interest
4,0,2,2,2,0,Windows,Yes,dog person,0,No,Yes
4,0,0,0,0,0,Windows,No,,0,No,Yes
2,0,0,0,1,1,Mac OS X,Yes,dog person,2,YES!!!,N/A
3,0,0,0,0,0,Windows,,,0,No,Yes
3,0,0,0,0,0,Windows,Yes,dog person,1,YES!!!,Yes
4,1,1,0,0,0,Mac OS X,No,dog person,0,Yes,Yes
4,2,1,0,0,2,Mac OS X,No,dog person,2,YES!!!,Yes
4,1,1,0,0,1,Mac OS X,No,dog person,1,Yes,Yes
4,2,2,0,0,2,Windows,Yes,dog person,1,Yes,Yes
5,2,2,1,1,2,Other: Windows + linux,No,dog person,2,YES!!!,Yes
1,0,0,0,0,1,Mac OS X,Yes,"cat person, dog person",2,YES!!!,No
4,1,2,0,1,2,Windows,No,"cat person, dog person, fish person, bird person",0,Yes,Not sure
4,1,0,0,0,2,Mac OS X,Yes,cat person,0,Yes,Yes
5,2,0,0,0,3,Mac OS X,Yes,"dog person, Other raccoon person",0,YES!!!,Yes
4,1,1,0,1,2,Mac OS X,No,"dog person, fish person",2,No,Yes
5,1,0,0,0,2,Windows,Yes,"cat person, dog person",2,Yes,Yes
3,1,1,1,0,1,Windows,No,"cat person, dog person",0,Yes,No
3,1,2,0,1,1,Mac OS X,Yes,dog person,1,Yes,N/A
4,1,0,0,0,1,Windows,No,"cat person, dog person, fish person, bird person",3,No,Yes
4,1,1,0,0,0,Windows,Yes,dog person,0,No,Yes
5,0,1,0,0,0,Windows,Yes,"cat person, dog person",0,Yes,Yes
4,1,1,0,0,0,Mac OS X,No,dog person,1,Yes,Not sure
5,2,0,0,0,1,Other: Windows and Linux,Yes,"cat person, dog person",0,Yes,Not sure
